,rank,precision,generator_name,base,row_size
219,33,36.2570619627766,gauss_gauss,1.5,70
220,40,180.6166837400763,gauss_gauss,1.5,70
221,47,79.86765225164517,gauss_gauss,1.5,70
222,53,108.61483073765943,gauss_gauss,1.5,70
223,60,43.44404347482287,gauss_gauss,1.5,70
224,20,14.592194884178383,big_gauss,1.5,140
225,27,40.15803201062258,big_gauss,1.5,140
226,33,28.769685007644533,big_gauss,1.5,140
227,40,31.93383191317342,big_gauss,1.5,140
228,47,78.09623878591273,big_gauss,1.5,140
229,53,71.95820645085328,big_gauss,1.5,140
230,60,80.67251191718005,big_gauss,1.5,140
231,20,14.808052025926218,gauss_gauss,1.5,140
232,27,40.98842434048777,gauss_gauss,1.5,140
233,33,29.940888668228688,gauss_gauss,1.5,140
234,40,31.36245912379854,gauss_gauss,1.5,140
235,47,77.51811812574469,gauss_gauss,1.5,140
236,53,73.7416226298064,gauss_gauss,1.5,140
237,60,79.67764322832053,gauss_gauss,1.5,140
238,20,14.535248690855196,big_gauss,1.5,210
239,27,26.72110055237414,big_gauss,1.5,210
240,33,21.480564028694715,big_gauss,1.5,210
241,40,53.84685249038716,big_gauss,1.5,210
242,47,29.650807087879276,big_gauss,1.5,210
243,53,35.298931707692105,big_gauss,1.5,210
244,60,176.49631569243482,big_gauss,1.5,210
245,20,14.445410444711015,gauss_gauss,1.5,210
246,27,26.403614780971374,gauss_gauss,1.5,210
247,33,21.509691583001207,gauss_gauss,1.5,210
248,40,53.584504005309554,gauss_gauss,1.5,210
249,47,30.270988739287485,gauss_gauss,1.5,210
250,53,34.68023626239479,gauss_gauss,1.5,210
251,60,163.96913876527063,gauss_gauss,1.5,210
252,20,52.21297652383787,big_gauss,1.5,280
253,27,47.324303480952125,big_gauss,1.5,280
254,33,30.87215144920463,big_gauss,1.5,280
255,40,27.84926287268943,big_gauss,1.5,280
256,47,27.91507376120832,big_gauss,1.5,280
257,53,683.1608575020314,big_gauss,1.5,280
258,60,33.68008344448649,big_gauss,1.5,280
259,20,52.74876346044352,gauss_gauss,1.5,280
260,27,45.57154702063187,gauss_gauss,1.5,280
261,33,31.913089186912362,gauss_gauss,1.5,280
262,40,27.309811289327108,gauss_gauss,1.5,280
263,47,29.018677214327987,gauss_gauss,1.5,280
264,53,701.0933288228133,gauss_gauss,1.5,280
265,60,33.02581942220864,gauss_gauss,1.5,280
266,20,15.009726093610475,big_gauss,1.5,350
267,27,17.64920270740467,big_gauss,1.5,350
268,33,99.00182437805434,big_gauss,1.5,350
269,40,53.12102818459664,big_gauss,1.5,350
270,47,29.000399741373005,big_gauss,1.5,350
271,53,19.52090729850684,big_gauss,1.5,350
272,60,127.42234637591774,big_gauss,1.5,350
273,20,15.342131922018304,gauss_gauss,1.5,350
274,27,17.98497829997225,gauss_gauss,1.5,350
275,33,97.05821547744975,gauss_gauss,1.5,350
276,40,54.752600488264456,gauss_gauss,1.5,350
